id;fastestLap;fastestLapTime;resultId
0;14;1:30.013;1
1;17;1:29.937;2
2;17;1:29.958;3
3;16;1:30.163;4
4;16;1:30.566;5
5;17;1:30.640;6
6;17;1:31.773;7
7;17;1:31.687;8
8;17;1:32.208;9
9;16;1:32.183;10
10;10;1:31.991;11
11;17;1:32.072;12
12;12;1:32.139;13
13;12;1:32.210;14
14;14;1:32.457;15
15;14;1:32.270;16
16;17;1:32.143;17
17;15;1:32.567;18
18;3;1:33.462;19
19;6;1:31.465;20
20;9;1:23.540;21
21;9;1:23.502;22
22;17;1:24.291;23
23;9;1:24.554;24
24;9;1:24.253;25
25;18;1:24.677;26
26;8;1:24.918;27
27;10;1:25.126;28
28;12;1:24.211;29
29;8;1:25.349;30
30;8;1:25.225;31
31;8;1:25.493;32
32;8;1:25.613;33
33;9;1:25.711;34
34;15;1:25.835;35
35;18;1:25.847;36
36;7;1:26.613;37
37;12;1:26.772;38
38;7;1:26.819;39
40;8;1:12.300;41
41;9;1:12.114;42
42;13;1:13.167;43
43;13;1:13.110;44
44;5;1:12.357;45
45;8;1:12.994;46
46;4;1:13.140;47
47;4;1:13.342;48
48;11;1:13.615;49
49;5;1:13.558;50
50;9;1:13.463;51
51;4;1:13.397;52
52;11;1:13.627;53
53;9;1:13.666;54
54;11;1:13.747;55
55;7;1:13.934;56
56;14;1:14.056;57
57;9;1:13.900;58
58;9;1:14.387;59
59;6;1:14.583;60
60;14;1:19.154;61
61;11;1:19.044;62
62;14;1:19.012;63
63;14;1:19.251;64
64;9;1:20.030;65
65;12;1:20.328;66
66;9;1:20.219;67
67;6;1:20.557;68
68;10;1:20.639;69
69;15;1:20.567;70
70;19;1:20.756;71
71;20;1:20.909;72
72;8;1:21.044;73
73;9;1:20.663;74
74;14;1:20.948;75
75;14;1:20.995;76
76;18;1:20.599;77
77;14;1:21.020;78
78;16;1:21.437;79
80;5;1:08.455;81
81;4;1:08.321;82
82;4;1:08.409;83
83;4;1:08.979;84
84;14;1:09.137;85
85;4;1:09.384;86
86;4;1:09.232;87
87;7;1:09.516;88
88;4;1:09.457;89
89;4;1:09.674;90
90;8;1:09.909;91
91;8;1:09.996;92
92;4;1:10.295;93
93;11;1:10.165;94
94;4;1:10.409;95
95;5;1:10.367;96
96;4;1:10.267;97
97;4;1:10.284;98
98;4;1:10.317;99
100;4;1:14.233;101
101;2;1:14.522;102
102;3;1:14.317;103
103;5;1:14.507;104
104;5;1:14.699;105
105;4;1:15.236;106
106;4;1:15.380;107
107;2;1:15.110;108
108;4;1:15.451;109
109;3;1:15.290;110
110;5;1:15.385;111
111;5;1:15.771;112
112;7;1:15.765;113
113;8;1:15.980;114
114;4;1:16.413;115
115;4;1:15.425;116
116;5;1:16.097;117
117;5;1:14.764;118
118;4;1:16.525;119
119;4;1:15.998;120
120;11;1:43.616;121
121;12;1:43.646;122
122;10;1:43.723;123
123;10;1:44.409;124
124;11;1:44.398;125
125;12;1:44.544;126
126;8;1:44.601;127
127;14;1:44.855;128
128;10;1:44.915;129
129;8;1:44.776;130
130;14;1:45.349;131
131;16;1:45.766;132
132;12;1:45.883;133
133;17;1:45.768;134
134;8;1:45.971;135
135;9;1:46.277;136
136;15;1:44.484;137
137;15;1:45.090;138
140;19;1:14.292;141
141;16;1:15.492;142
142;16;1:15.457;143
143;23;1:15.531;144
144;18;1:14.978;145
145;24;1:10.180;146
146;22;1:15.512;147
147;23;1:10.385;148
148;19;1:15.627;149
149;24;1:10.775;150
150;24;1:10.274;151
151;24;1:10.686;152
152;24;1:11.635;153
153;23;1:10.539;154
154;22;1:16.109;155
155;23;1:11.363;156
156;22;1:11.701;157
157;21;1:11.829;158
158;22;1:11.305;159
159;22;1:16.758;160
160;6;1:58.943;161
161;2;2:00.360;162
162;6;2:01.857;163
163;7;2:01.472;164
164;7;2:02.635;165
165;8;2:02.085;166
166;7;2:00.920;167
167;10;2:01.935;168
168;6;2:03.061;169
169;8;2:02.967;170
170;6;2:03.356;171
171;6;2:03.674;172
172;6;2:03.595;173
173;6;2:03.965;174
174;6;2:04.760;175
175;6;2:03.482;176
176;6;2:03.472;177
177;7;2:02.080;178
178;2;2:02.516;179
